taxi_type,pickup_ts,dropoff_ts,trip_distance,passenger_count,trip_co2_kgs,avg_mph
YELLOW,2015-01-25 01:39:43,2015-01-25 02:04:48,100.0,2,38.0,239.20265780730895
GREEN,2015-07-14 14:20:32,2015-07-14 16:39:22,99.97,6,34.9895,43.204321728691475
